Training data...
Loading data... 
Data loaded
Extracting data...
Data extracted
Implicit data...
Loading data... 
Data loaded
Extracting data...
Data extracted
crossvalidating BPMF model...
Rank [8, 9, 10]
Test......
training size: 1165182
validation size: 11770
iteration: 0, train RMSE: 1.0265236327420273 , val RMSE: 1.034549315541703 
iteration: 1, train RMSE: 1.0141560953538482 , val RMSE: 1.023767223236793 
iteration: 2, train RMSE: 0.9970649543386593 , val RMSE: 1.0093559063165904 
iteration: 3, train RMSE: 0.9873307872404493 , val RMSE: 1.0019762385455557 
iteration: 4, train RMSE: 0.979524027088123 , val RMSE: 0.9973880609566509 
iteration: 5, train RMSE: 0.9717253968267253 , val RMSE: 0.9934713640566174 
iteration: 6, train RMSE: 0.9642643328396661 , val RMSE: 0.9904580906427274 
iteration: 7, train RMSE: 0.957177463212015 , val RMSE: 0.9878442605682973 
iteration: 8, train RMSE: 0.9509543193514618 , val RMSE: 0.9861618045729814 
iteration: 9, train RMSE: 0.9457183517139826 , val RMSE: 0.9846549546875403 
iteration: 10, train RMSE: 0.9413282224335733 , val RMSE: 0.9833047817890214 
iteration: 11, train RMSE: 0.9376182155282453 , val RMSE: 0.9824850609983499 
iteration: 12, train RMSE: 0.9345471306149293 , val RMSE: 0.9817254410922747 
iteration: 13, train RMSE: 0.9319704889003518 , val RMSE: 0.9810771756500107 
iteration: 14, train RMSE: 0.9297715482817273 , val RMSE: 0.9806727846660657 
iteration: 15, train RMSE: 0.9278741917825014 , val RMSE: 0.980310749225989 
iteration: 16, train RMSE: 0.9262248494475458 , val RMSE: 0.9800284034145338 
iteration: 17, train RMSE: 0.9247737238671786 , val RMSE: 0.9799078773357234 
iteration: 18, train RMSE: 0.9235032309976667 , val RMSE: 0.9799037834918422 
iteration: 19, train RMSE: 0.9223635145374665 , val RMSE: 0.9798203013217763 
iteration: 20, train RMSE: 0.9213587743166858 , val RMSE: 0.9796870156582935 
iteration: 21, train RMSE: 0.9204798805855818 , val RMSE: 0.979516337860239 
iteration: 22, train RMSE: 0.9196595115884385 , val RMSE: 0.9794657992095872 
iteration: 23, train RMSE: 0.9188868998780544 , val RMSE: 0.979322573522905 
iteration: 24, train RMSE: 0.9182093791454939 , val RMSE: 0.9791693721138616 
iteration: 25, train RMSE: 0.9176250804345767 , val RMSE: 0.9790786340789455 
iteration: 26, train RMSE: 0.9170646795790064 , val RMSE: 0.978971209883697 
iteration: 27, train RMSE: 0.9165334573675078 , val RMSE: 0.9789244354945356 
iteration: 28, train RMSE: 0.9160361087933212 , val RMSE: 0.9788583143593217 
iteration: 29, train RMSE: 0.9155911727189113 , val RMSE: 0.978812272361022 
iteration: 30, train RMSE: 0.9152069005481485 , val RMSE: 0.9787856919363705 
iteration: 31, train RMSE: 0.9148238078971184 , val RMSE: 0.97876496691768 
iteration: 32, train RMSE: 0.9144782148612101 , val RMSE: 0.978743287099513 
iteration: 33, train RMSE: 0.9141551145254624 , val RMSE: 0.9787599474299029 
iteration: 34, train RMSE: 0.9138551578296092 , val RMSE: 0.9787943201774459 
iteration: 35, train RMSE: 0.9135641406208718 , val RMSE: 0.9788841264780255 
iteration: 36, train RMSE: 0.9133044277036693 , val RMSE: 0.9789135009194415 
iteration: 37, train RMSE: 0.913070539798953 , val RMSE: 0.9789040468216735 
iteration: 38, train RMSE: 0.9128398649671126 , val RMSE: 0.9789202401696758 
iteration: 39, train RMSE: 0.9126100027954313 , val RMSE: 0.9789072723467569 
Test......
training size: 1165182
validation size: 11770
iteration: 0, train RMSE: 1.0260689321000718 , val RMSE: 1.0324581713313672 
iteration: 1, train RMSE: 1.0123188924960467 , val RMSE: 1.0190243048917724 
iteration: 2, train RMSE: 0.9954206171159634 , val RMSE: 1.0047939771662506 
iteration: 3, train RMSE: 0.9863732162892532 , val RMSE: 0.9980750374441959 
iteration: 4, train RMSE: 0.9788557851389813 , val RMSE: 0.9933965612165687 
iteration: 5, train RMSE: 0.9714004148818431 , val RMSE: 0.9900952272576617 
iteration: 6, train RMSE: 0.9641522327595784 , val RMSE: 0.9874153057846042 
iteration: 7, train RMSE: 0.9574291796721593 , val RMSE: 0.9847062605647087 
iteration: 8, train RMSE: 0.9512780117422394 , val RMSE: 0.9829904656864806 
iteration: 9, train RMSE: 0.9460196922657577 , val RMSE: 0.9815261416816916 
iteration: 10, train RMSE: 0.9416353984484362 , val RMSE: 0.980149121062755 
iteration: 11, train RMSE: 0.9379591538586299 , val RMSE: 0.9791579276323075 
iteration: 12, train RMSE: 0.9348774083183277 , val RMSE: 0.9785799137025925 
iteration: 13, train RMSE: 0.9322946150809134 , val RMSE: 0.978311289293752 
iteration: 14, train RMSE: 0.9300385975206953 , val RMSE: 0.9777002155170007 
iteration: 15, train RMSE: 0.928088134550151 , val RMSE: 0.9772850037398845 
iteration: 16, train RMSE: 0.9263483038161026 , val RMSE: 0.9769744364110022 
iteration: 17, train RMSE: 0.9248866158347524 , val RMSE: 0.9768363220339666 
iteration: 18, train RMSE: 0.9235991196893447 , val RMSE: 0.9763860295809677 
iteration: 19, train RMSE: 0.9224683558649707 , val RMSE: 0.9763478290873686 
iteration: 20, train RMSE: 0.921450931565473 , val RMSE: 0.9762399598573788 
iteration: 21, train RMSE: 0.9205501400432622 , val RMSE: 0.975961209658999 
iteration: 22, train RMSE: 0.9197122658589365 , val RMSE: 0.9758458285083198 
iteration: 23, train RMSE: 0.918970221340259 , val RMSE: 0.9756570772427745 
iteration: 24, train RMSE: 0.9182557074597255 , val RMSE: 0.9756234372258029 
iteration: 25, train RMSE: 0.9176308930024158 , val RMSE: 0.9755573434955203 
iteration: 26, train RMSE: 0.9170833157838559 , val RMSE: 0.9754964720951148 
iteration: 27, train RMSE: 0.9165531391926043 , val RMSE: 0.9753882449595858 
iteration: 28, train RMSE: 0.9160782762800684 , val RMSE: 0.9752618036152148 
iteration: 29, train RMSE: 0.9156408423472465 , val RMSE: 0.975201378364815 
iteration: 30, train RMSE: 0.915230979581703 , val RMSE: 0.9751945344460343 
