bounds = [{'name': 'var_1', 'type': 'continuous', 'domain': (-6, -1.5), 'dimensionality': 1}, #log-eta
              {'name': 'var_2', 'type': 'discrete', 'domain': tuple(range(1, 150)), 'dimensionality': 1}, #k
              {'name': 'var_3', 'type': 'continuous', 'domain': (-6, 1), 'dimensionality': 1}, #log-reg_factor
              {'name': 'var_4', 'type': 'continuous', 'domain': (4, 7), 'dimensionality': 1}] # log-num_of_samples


 max_iter = 100  ## maximum number of iterations

Loading data... 
Data loaded
Extracting data...
Data extracted
k = 108  eta = 0.0017099732172333264 num_of_samples = 2303848 reg_factor = 9.418203772843878e-06
Score:  1.1106293866651413
k = 85  eta = 4.114219549354137e-05 num_of_samples = 48961 reg_factor = 0.3692912401425767
Score:  1.1361126257678797
k = 92  eta = 0.026767531899073695 num_of_samples = 16132 reg_factor = 0.13762093725410462
Score:  1.1333270046815713
k = 39  eta = 1.6533732801529837e-05 num_of_samples = 176500 reg_factor = 0.893432920265752
Score:  1.1377711476869343
k = 130  eta = 0.0005501274538851015 num_of_samples = 1877088 reg_factor = 0.11244419784000961
Score:  1.1207339003929984
Init done.
k = 114  eta = 0.0010363818521337803 num_of_samples = 10000000 reg_factor = 1e-06
Score:  1.1085430217144085
k = 113  eta = 1e-06 num_of_samples = 10000 reg_factor = 1e-06
Score:  1.1334718039793503
k = 86  eta = 0.0005691798414888662 num_of_samples = 963447 reg_factor = 1.1112274586308637
Score:  1.2147432905836553
k = 128  eta = 0.004650305355266321 num_of_samples = 3045581 reg_factor = 0.04562965689425967
Score:  1.1132102435536735
k = 129  eta = 0.0019304061940557918 num_of_samples = 2495018 reg_factor = 0.0661736874226202
Score:  1.1132381780525626
k = 113  eta = 0.0016060935116958988 num_of_samples = 9763591 reg_factor = 1.6895570561337293e-06
Score:  1.1137376427313224
k = 110  eta = 0.001541202382504877 num_of_samples = 6620231 reg_factor = 2.5268184670457786e-06
Score:  1.1108574048003625
k = 109  eta = 0.03146493199236516 num_of_samples = 3888393 reg_factor = 7.095695712988798e-05
Score:  1.1238906334457723
k = 109  eta = 5.418351093267906e-05 num_of_samples = 10000000 reg_factor = 1e-06
Score:  1.1215787859033175
k = 115  eta = 0.030214431611915907 num_of_samples = 10000000 reg_factor = 1e-06
Score:  1.1221829612720822
k = 109  eta = 0.002998555597934407 num_of_samples = 94470 reg_factor = 1e-06
Score:  1.127829305202502
k = 115  eta = 6.0382741300198356e-05 num_of_samples = 10000000 reg_factor = 9.368066681085049e-06
Score:  1.1227408374661647
k = 129  eta = 0.03162277660168379 num_of_samples = 10000000 reg_factor = 0.001062078316323325
Score:  1.1177173549499901
k = 84  eta = 1e-06 num_of_samples = 10000 reg_factor = 0.07753677998958114
Score:  1.1330411583705675
k = 106  eta = 0.000846403959319787 num_of_samples = 10000000 reg_factor = 1.9265149906050527e-05
Score:  1.11211043838902
k = 108  eta = 0.00017409920109117164 num_of_samples = 10000000 reg_factor = 0.00018150362477693387
Score:  1.1117719127316439
k = 107  eta = 0.0002017785740399992 num_of_samples = 297996 reg_factor = 0.00015007496858451905
Score:  1.1312421328316364
k = 129  eta = 0.03162277660168379 num_of_samples = 42487 reg_factor = 0.028077450235151426
Score:  1.1317382801070828
k = 128  eta = 0.00013683142734312597 num_of_samples = 10000000 reg_factor = 0.0049606447560515765
Score:  1.1139743082904876
k = 107  eta = 0.005497279638772533 num_of_samples = 10000000 reg_factor = 1.2477699825010665e-06
Score:  1.1147047025872432
