TRAINING ERROR: 

num_of_samples = 100 000
eta: 0.1 , k: 1  -> error 0.7499383583080272
eta: 0.1 , k: 2  -> error 0.7437161001818877
eta: 0.1 , k: 3  -> error 0.750839276881214
eta: 0.1 , k: 4  -> error 0.7737472295794713
eta: 0.1 , k: 5  -> error 0.7632278950294614
eta: 0.01 , k: 1  -> error 0.5100344231707326
eta: 0.01 , k: 2  -> error 0.5101414493114648
eta: 0.01 , k: 3  -> error 0.5101216664046826
eta: 0.01 , k: 4  -> error 0.5097235417775228
eta: 0.01 , k: 5  -> error 0.5101616499271118
eta: 0.001 , k: 1  -> error 0.5911958627294754
eta: 0.001 , k: 2  -> error 0.5504696697457642
eta: 0.001 , k: 3  -> error 0.5362914067252216
eta: 0.001 , k: 4  -> error 0.5307112296202784
eta: 0.001 , k: 5  -> error 0.5258192624064898
eta: 0.0001 , k: 1  -> error 0.798529873599692
eta: 0.0001 , k: 2  -> error 0.6882782560508232
eta: 0.0001 , k: 3  -> error 0.6370325450314626
eta: 0.0001 , k: 4  -> error 0.6214199899108727
eta: 0.0001 , k: 5  -> error 0.6116657947758742


num_of_samples = 10 000
eta: 0.1 , k: 1  -> error 0.8200804382553466
eta: 0.1 , k: 2  -> error 0.7716343342182821
eta: 0.1 , k: 3  -> error 0.7562251767017981
eta: 0.1 , k: 4  -> error 0.7314210500486141
eta: 0.1 , k: 5  -> error 0.7248642964301234
eta: 0.01 , k: 1  -> error 0.8146027942220531
eta: 0.01 , k: 2  -> error 0.6872786359074516
eta: 0.01 , k: 3  -> error 0.6517072569674731
eta: 0.01 , k: 4  -> error 0.6307406169653293
eta: 0.01 , k: 5  -> error 0.6207083368846785
eta: 0.001 , k: 1  -> error 0.952284628338419
eta: 0.001 , k: 2  -> error 0.7898551571500195
eta: 0.001 , k: 3  -> error 0.7430697451985677
eta: 0.001 , k: 4  -> error 0.7194940554818022
eta: 0.001 , k: 5  -> error 0.6956793864595664
eta: 0.0001 , k: 1  -> error 0.9689799899248012
eta: 0.0001 , k: 2  -> error 0.8305693049064636
eta: 0.0001 , k: 3  -> error 0.7505988016256332
eta: 0.0001 , k: 4  -> error 0.7190302670182672
eta: 0.0001 , k: 5  -> error 0.7010375559801758

num_of_samples = 1 000 000
eta: 0.1 , k: 1  -> error 0.7525831787183832
eta: 0.1 , k: 2  -> error 0.7571278262453912
eta: 0.1 , k: 3  -> error 0.7553896843260408
