n_components = 1 , alpha = 0.011 l1_ratio = 0  -> score: 1.0206515718588757835050273570232093334197998046875
n_components = 1 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.0206423315621144798370778516982682049274444580078125
n_components = 1 , alpha = 0.011 l1_ratio = 1  -> score: 1.020672290830082484802687758929096162319183349609375
n_components = 1 , alpha = 0.0001 l1_ratio = 0  -> score: 1.02067145635795331060080570750869810581207275390625
n_components = 1 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.0206381137287861005091826882562600076198577880859375
n_components = 1 , alpha = 0.0001 l1_ratio = 1  -> score: 1.0206666933388148787997806721250526607036590576171875
n_components = 1 , alpha = 1 l1_ratio = 0  -> score: 1.020649776315165180307076298049651086330413818359375
n_components = 1 , alpha = 1 l1_ratio = 0.5  -> score: 1.0206488367530874850075406357063911855220794677734375
n_components = 1 , alpha = 1 l1_ratio = 1  -> score: 1.020674429853468456741438785684294998645782470703125
n_components = 2 , alpha = 0.011 l1_ratio = 0  -> score: 1.0159160747267679258953876342275179922580718994140625
n_components = 2 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.015993400130670298864288270124234259128570556640625
n_components = 2 , alpha = 0.011 l1_ratio = 1  -> score: 1.01597317578916435110159000032581388950347900390625
n_components = 2 , alpha = 0.0001 l1_ratio = 0  -> score: 1.015900770246567663690484550897963345050811767578125
n_components = 2 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.0158643914625902215931319005903787910938262939453125
n_components = 2 , alpha = 0.0001 l1_ratio = 1  -> score: 1.0159167493161216366814869616064243018627166748046875
n_components = 2 , alpha = 1 l1_ratio = 0  -> score: 1.0159573385890656727070791021105833351612091064453125
n_components = 2 , alpha = 1 l1_ratio = 0.5  -> score: 1.01613889719735794869848177768290042877197265625
n_components = 2 , alpha = 1 l1_ratio = 1  -> score: 1.0163430392572514460169941230560652911663055419921875
n_components = 3 , alpha = 0.011 l1_ratio = 0  -> score: 1.0136317910283185739217515219934284687042236328125
n_components = 3 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.013566007005604063806458725593984127044677734375
n_components = 3 , alpha = 0.011 l1_ratio = 1  -> score: 1.013628796729567849155273506767116487026214599609375
n_components = 3 , alpha = 0.0001 l1_ratio = 0  -> score: 1.013558506231579503520379148540087044239044189453125
n_components = 3 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.013588630473616802873948472552001476287841796875
n_components = 3 , alpha = 0.0001 l1_ratio = 1  -> score: 1.013695333942638665547519849496893584728240966796875
n_components = 3 , alpha = 1 l1_ratio = 0  -> score: 1.0136467314721733234961220659897662699222564697265625
n_components = 3 , alpha = 1 l1_ratio = 0.5  -> score: 1.0139864834516181257839662066544406116008758544921875
n_components = 3 , alpha = 1 l1_ratio = 1  -> score: 1.015415281377605172252742704586125910282135009765625
n_components = 4 , alpha = 0.011 l1_ratio = 0  -> score: 1.013632974906865324982163656386546790599822998046875
n_components = 4 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.013570347369692203898239313275553286075592041015625
n_components = 4 , alpha = 0.011 l1_ratio = 1  -> score: 1.01366508331621130167832234292291104793548583984375
n_components = 4 , alpha = 0.0001 l1_ratio = 0  -> score: 1.013374444270208396545740470173768699169158935546875
n_components = 4 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.013730310865819550514288494014181196689605712890625
n_components = 4 , alpha = 0.0001 l1_ratio = 1  -> score: 1.01366936206412017185130025609396398067474365234375
n_components = 4 , alpha = 1 l1_ratio = 0  -> score: 1.0135143233510912619266264300676994025707244873046875
n_components = 4 , alpha = 1 l1_ratio = 0.5  -> score: 1.0138927369825818658455318654887378215789794921875
n_components = 4 , alpha = 1 l1_ratio = 1  -> score: 1.01523228959160594087052231770940124988555908203125
n_components = 5 , alpha = 0.011 l1_ratio = 0  -> score: 1.0126493120451816043470216754940338432788848876953125
n_components = 5 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.0126603185887663727271501556970179080963134765625
n_components = 5 , alpha = 0.011 l1_ratio = 1  -> score: 1.012726844837896322815140592865645885467529296875
n_components = 5 , alpha = 0.0001 l1_ratio = 0  -> score: 1.0125855023129675114290648707537911832332611083984375
n_components = 5 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.012682107229668115877529999124817550182342529296875
n_components = 5 , alpha = 0.0001 l1_ratio = 1  -> score: 1.012702036639382630056616108049638569355010986328125
n_components = 5 , alpha = 1 l1_ratio = 0  -> score: 1.0127400296506012811192931621917523443698883056640625
n_components = 5 , alpha = 1 l1_ratio = 0.5  -> score: 1.0130629368047159299948134503210894763469696044921875
n_components = 5 , alpha = 1 l1_ratio = 1  -> score: 1.01392967625566488010235843830741941928863525390625
n_components = 6 , alpha = 0.011 l1_ratio = 0  -> score: 1.012057202081805495907929071108810603618621826171875
n_components = 6 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.01205147976551046440363279543817043304443359375
n_components = 6 , alpha = 0.011 l1_ratio = 1  -> score: 1.0119900628127231900776905604288913309574127197265625
n_components = 6 , alpha = 0.0001 l1_ratio = 0  -> score: 1.0119896996021022772538344725035130977630615234375
n_components = 6 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.0121064245068922549108947350759990513324737548828125
n_components = 6 , alpha = 0.0001 l1_ratio = 1  -> score: 1.012050279479841830010400371975265443325042724609375
n_components = 6 , alpha = 1 l1_ratio = 0  -> score: 1.011960559310181029246678008348681032657623291015625
n_components = 6 , alpha = 1 l1_ratio = 0.5  -> score: 1.0122919255061730847700118829379789531230926513671875
n_components = 6 , alpha = 1 l1_ratio = 1  -> score: 1.013245758837540311247948920936323702335357666015625
n_components = 7 , alpha = 0.011 l1_ratio = 0  -> score: 1.0113344812174485110034538593026809394359588623046875
n_components = 7 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.011517060789500543904750884394161403179168701171875
n_components = 7 , alpha = 0.011 l1_ratio = 1  -> score: 1.011534396520675560537938508787192404270172119140625
n_components = 7 , alpha = 0.0001 l1_ratio = 0  -> score: 1.011420981550670727955321126501075923442840576171875
n_components = 7 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.011607214480218175367554067634046077728271484375
n_components = 7 , alpha = 0.0001 l1_ratio = 1  -> score: 1.0115766188998929209219568292610347270965576171875
n_components = 7 , alpha = 1 l1_ratio = 0  -> score: 1.0111871028792460691647647763602435588836669921875
n_components = 7 , alpha = 1 l1_ratio = 0.5  -> score: 1.011921278468720597487617851584218442440032958984375
n_components = 7 , alpha = 1 l1_ratio = 1  -> score: 1.0134038453119631473242634456255473196506500244140625
